项目名称,Stars,语言,功能描述,适用场景,GitHub链接,学习难度,文档完整性,更新频率
vnpy,15000+,Python,全功能量化交易平台,实盘交易,https://github.com/vnpy/vnpy,中等,完整,活跃
rqalpha,8000+,Python,A股回测引擎,策略回测,https://github.com/ricequant/rqalpha,较低,完整,活跃
akshare,12000+,Python,金融数据获取,数据获取,https://github.com/akfamily/akshare,较低,完整,非常活跃
tushare,10000+,Python,A股数据API,数据获取,https://github.com/waditu/tushare,较低,完整,活跃
backtrader,9000+,Python,通用回测框架,策略回测,https://github.com/mementum/backtrader,中等,完整,一般
easyquant,3000+,Python,事件驱动量化框架,量化交易,https://github.com/shidenggui/easyquant,较低,一般,较低
baostock,4000+,Python,A股数据,数据获取,https://github.com/baostock/baostock,较低,完整,活跃
finta,2000+,Python,技术指标库,指标计算,https://github.com/peerchemist/finta,较低,一般,一般
pandas,35000+,Python,数据分析库,数据处理,https://github.com/pandas-dev/pandas,较高,完整,非常活跃
numpy,25000+,Python,数值计算库,科学计算,https://github.com/numpy/numpy,较高,完整,非常活跃
ta-lib,5000+,Python,C语言技术指标,指标计算,https://github.com/mrjbq7/ta-lib,中等,完整,一般
