场景,步骤,操作,命令/动作,预期输出,备注
新建回测,1,安装依赖,pip install baostock rqalpha akshare pandas numpy matplotlib,安装成功提示,"如有权限问题用sudo或管理员权限"
新建回测,2,准备数据,运行数据获取代码获取股票数据,生成HDF5缓存文件,使用baostock获取
新建回测,3,选择策略,复制策略模板到工作目录,策略代码文件,4个策略可选
新建回测,4,调整参数,修改策略参数,参数确认,参考策略模板清单.csv
新建回测,5,运行回测,rqalpha backtest -f 策略.py -s 开始日期 -e 结束日期,回测报告,包含年化收益等指标
新建回测,6,分析结果,查看回测报告和图表,可视化图表,调整参数优化策略
数据获取,1,登录系统,bs.login(),登录成功,baostock登录
数据获取,2,查询数据,bs.query_history_k_data_plus(),日线/分钟线数据,检查error_code
数据获取,3,转换格式,pd.DataFrame(data_list),DataFrame格式,便于分析处理
数据获取,4,保存本地,df.to_hdf('路径', key='键名'),HDF5文件,下次直接读取
数据获取,5,登出系统,bs.logout(),登出成功,释放连接
评估GitHub项目,1,搜索项目,访问github.com/topics/quantitative-trading,项目列表,按stars排序
评估GitHub项目,2,查看项目详情,点击项目进入README,项目说明,关注更新时间
评估GitHub项目,3,评估质量,检查文档、Stars、Issue,评估报告,参考GitHub优质项目索引.csv
评估GitHub项目,4,克隆项目,git clone 项目地址,本地项目代码,建议fork后使用
评估GitHub项目,5,本地运行,按照项目README运行示例,运行结果,验证环境配置
策略选择,1,分析市场,判断当前市场环境,市场特征,趋势/震荡/热点
策略选择,2,对标策略,参考策略适用场景选择,策略名称,突破策略-趋势市场
策略选择,3,回测验证,用历史数据回测策略,回测结果,验证策略有效性
策略选择,4,参数优化,调整参数改善结果,优化后结果,注意过拟合风险
策略选择,5,模拟运行,小资金模拟实盘,模拟结果,验证策略稳定性
